Input Read
s: 85total: 21985
s: 15total: 22000
s: 76total: 22076
s: 17total: 22093
s: 17total: 22110
s: 57total: 22167
s: 89total: 22256
s: 81total: 22337
s: 63total: 22400
s: 67total: 22467
s: 52total: 22519
s: 95total: 22614
s: 54total: 22668
s: 92total: 22760
s: 68total: 22828
s: 11total: 22839
s: 42total: 22881
s: 99total: 22980
s: 18total: 22998
s: 44total: 23042
s: 84total: 23126
s: 23total: 23149
s: 35total: 23184
s: 83total: 23267
s: 16total: 23283
s: 99total: 23382
s: 23total: 23405
s: 15total: 23420
s: 87total: 23507
s: 74total: 23581
s: 33total: 23614
s: 93total: 23707
s: 59total: 23766
s: 29total: 23795
s: 26total: 23821
s: 79total: 23900
s: 73total: 23973
s: 29total: 24002
s: 58total: 24060
s: 32total: 24092
s: 26total: 24118
s: 38total: 24156
s: 32total: 24188
s: 24total: 24212
s: 98total: 24310
s: 26total: 24336
s: 21total: 24357
s: 57total: 24414
s: 29total: 24443
s: 56total: 24499
s: 94total: 24593
s: 64total: 24657
s: 13total: 24670
s: 95total: 24765
s: 18total: 24783
s: 25total: 24808
s: 12total: 24820
s: 85total: 24905
s: 95total: 25000
s: 43total: 25043
s: 77total: 25120
s: 27total: 25147
s: 27total: 25174
s: 99total: 25273
s: 98total: 25371
s: 33total: 25404
s: 11total: 25415
s: 45total: 25460
s: 17total: 25477
s: 43total: 25520
s: 56total: 25576
s: 32total: 25608
s: 16total: 25624
s: 34total: 25658
s: 61total: 25719
s: 14total: 25733
s: 48total: 25781
s: 91total: 25872
s: 84total: 25956
s: 66total: 26022
s: 96total: 26118
s: 31total: 26149
s: 71total: 26220
s: 46total: 26266
s: 38total: 26304
s: 34total: 26338
s: 64total: 26402
s: 19total: 26421
s: 72total: 26493
s: 83total: 26576
s: 48total: 26624
s: 55total: 26679
s: 96total: 26775
s: 82total: 26857
s: 52total: 26909
s: 91total: 27000
s: 75total: 27075
s: 81total: 27156
s: 52total: 27208
s: 65total: 27273
s: 84total: 27357
s: 97total: 27454
s: 52total: 27506
s: 36total: 27542
s: 83total: 27625
s: 44total: 27669
s: 18total: 27687
s: 95total: 27782
s: 72total: 27854
s: 93total: 27947
s: 32total: 27979
s: 47total: 28026
s: 92total: 28118
s: 74total: 28192
s: 77total: 28269
s: 17total: 28286
s: 75total: 28361
s: 52total: 28413
s: 77total: 28490
s: 99total: 28589
s: 73total: 28662
s: 84total: 28746
s: 42total: 28788
s: 16total: 28804
s: 89total: 28893
s: 89total: 28982
s: 54total: 29036
s: 65total: 29101
s: 85total: 29186
s: 57total: 29243
s: 62total: 29305
s: 54total: 29359
s: 44total: 29403
s: 96total: 29499
s: 71total: 29570
s: 59total: 29629
s: 14total: 29643
s: 34total: 29677
s: 67total: 29744
s: 45total: 29789
s: 56total: 29845
s: 67total: 29912
s: 12total: 29924
s: 83total: 30007
s: 22total: 30029
s: 77total: 30106
s: 58total: 30164
s: 78total: 30242
s: 19total: 30261
s: 37total: 30298
s: 67total: 30365
s: 52total: 30417
s: 98total: 30515
s: 22total: 30537
s: 42total: 30579
s: 99total: 30678
s: 76total: 30754
s: 84total: 30838
s: 95total: 30933
s: 15total: 30948
s: 27total: 30975
s: 17total: 30992
s: 72total: 31064
s: 74total: 31138
s: 27total: 31165
s: 74total: 31239
s: 23total: 31262
s: 92total: 31354
s: 28total: 31382
s: 99total: 31481
s: 71total: 31552
s: 52total: 31604
s: 66total: 31670
s: 73total: 31743
s: 32total: 31775
s: 42total: 31817
s: 99total: 31916
s: 18total: 31934
s: 86total: 32020
s: 26total: 32046
s: 97total: 32143
s: 41total: 32184
s: 18total: 32202
s: 55total: 32257
s: 52total: 32309
s: 93total: 32402
s: 91total: 32493
s: 16total: 32509
s: 72total: 32581
s: 87total: 32668
s: 71total: 32739
s: 47total: 32786
s: 86total: 32872
s: 15total: 32887
s: 33total: 32920
s: 42total: 32962
s: 18total: 32980
s: 55total: 33035
s: 29total: 33064
s: 78total: 33142
s: 14total: 33156
s: 83total: 33239
s: 78total: 33317
s: 75total: 33392
s: 27total: 33419
s: 54total: 33473
s: 98total: 33571
s: 99total: 33670
s: 79total: 33749
s: 63total: 33812
s: 68total: 33880
s: 82total: 33962
s: 21total: 33983
s: 33total: 34016
s: 48total: 34064
s: 81total: 34145
s: 22total: 34167
s: 87total: 34254
s: 31total: 34285
s: 56total: 34341
s: 79total: 34420
s: 88total: 34508
s: 25total: 34533
s: 53total: 34586
s: 93total: 34679
s: 94total: 34773
s: 68total: 34841
s: 44total: 34885
s: 96total: 34981
s: 42total: 35023
s: 38total: 35061
s: 65total: 35126
s: 74total: 35200
s: 24total: 35224
s: 25total: 35249
s: 29total: 35278
s: 67total: 35345
s: 29total: 35374
s: 99total: 35473
s: 74total: 35547
s: 49total: 35596
s: 63total: 35659
s: 27total: 35686
s: 59total: 35745
s: 61total: 35806
s: 41total: 35847
s: 65total: 35912
s: 95total: 36007
s: 51total: 36058
s: 91total: 36149
s: 54total: 36203
s: 68total: 36271
s: 75total: 36346
s: 53total: 36399
s: 37total: 36436
s: 66total: 36502
s: 15total: 36517
s: 45total: 36562
s: 75total: 36637
s: 92total: 36729
s: 22total: 36751
s: 72total: 36823
s: 61total: 36884
s: 76total: 36960
s: 16total: 36976
s: 74total: 37050
s: 28total: 37078
s: 48total: 37126
s: 32total: 37158
s: 35total: 37193
s: 23total: 37216
s: 12total: 37228
s: 44total: 37272
s: 16total: 37288
s: 29total: 37317
s: 29total: 37346
s: 99total: 37445
s: 93total: 37538
s: 55total: 37593
s: 16total: 37609
s: 84total: 37693
s: 99total: 37792
s: 98total: 37890
s: 88total: 37978
s: 36total: 38014
s: 73total: 38087
s: 31total: 38118
s: 62total: 38180
s: 84total: 38264
s: 33total: 38297
s: 92total: 38389
s: 25total: 38414
s: 55total: 38469
s: 48total: 38517
s: 43total: 38560
s: 89total: 38649
s: 45total: 38694
s: 72total: 38766
s: 99total: 38865
s: 11total: 38876
s: 52total: 38928
s: 35total: 38963
s: 26total: 38989
s: 28total: 39017
s: 55total: 39072
s: 12total: 39084
s: 38total: 39122
s: 33total: 39155
s: 75total: 39230
s: 77total: 39307
s: 44total: 39351
s: 39total: 39390
s: 33total: 39423
s: 93total: 39516
s: 22total: 39538
s: 77total: 39615
s: 47total: 39662
s: 99total: 39761
s: 46total: 39807
s: 79total: 39886
s: 13total: 39899
s: 48total: 39947
s: 69total: 40016
s: 24total: 40040
s: 11total: 40051
s: 97total: 40148
s: 52total: 40200
s: 17total: 40217
s: 68total: 40285
s: 71total: 40356
s: 19total: 40375
s: 86total: 40461
s: 38total: 40499
s: 88total: 40587
s: 91total: 40678
s: 99total: 40777
s: 42total: 40819
s: 26total: 40845
s: 66total: 40911
s: 37total: 40948
s: 98total: 41046
s: 83total: 41129
s: 51total: 41180
s: 56total: 41236
s: 79total: 41315
s: 24total: 41339
s: 49total: 41388
s: 83total: 41471
s: 55total: 41526
s: 11total: 41537
s: 98total: 41635
s: 39total: 41674
s: 33total: 41707
s: 16total: 41723
s: 35total: 41758
s: 25total: 41783
s: 33total: 41816
s: 96total: 41912
s: 67total: 41979
s: 16total: 41995
s: 29total: 42024
s: 77total: 42101
s: 14total: 42115
s: 64total: 42179
s: 26total: 42205
s: 57total: 42262
s: 34total: 42296
s: 77total: 42373
s: 86total: 42459
s: 26total: 42485
s: 82total: 42567
s: 64total: 42631
s: 43total: 42674
s: 66total: 42740
s: 33total: 42773
s: 66total: 42839
s: 93total: 42932
s: 44total: 42976
s: 95total: 43071
s: 81total: 43152
s: 86total: 43238
s: 19total: 43257
s: 61total: 43318
s: 91total: 43409
s: 62total: 43471
s: 22total: 43493
s: 82total: 43575
s: 41total: 43616
s: 51total: 43667
s: 24total: 43691
s: 74total: 43765
s: 69total: 43834
s: 88total: 43922
s: 73total: 43995
s: 21total: 44016
s: 56total: 44072
s: 91total: 44163
s: 87total: 44250
s: 26total: 44276
s: 76total: 44352
s: 95total: 44447
s: 77total: 44524
s: 75total: 44599
s: 43total: 44642
s: 36total: 44678
s: 88total: 44766
s: 35total: 44801
s: 92total: 44893
s: 99total: 44992
s: 39total: 45031
s: 46total: 45077
s: 74total: 45151
s: 42total: 45193
s: 14total: 45207
s: 34total: 45241
s: 47total: 45288
s: 29total: 45317
s: 96total: 45413
s: 39total: 45452
s: 92total: 45544
s: 38total: 45582
s: 43total: 45625
s: 74total: 45699
s: 64total: 45763
s: 11total: 45774
s: 19total: 45793
s: 36total: 45829
s: 66total: 45895
s: 14total: 45909
s: 63total: 45972
s: 48total: 46020
s: 72total: 46092
s: 76total: 46168
s: 44total: 46212
s: 47total: 46259
s: 82total: 46341
s: 93total: 46434
s: 98total: 46532
s: 55total: 46587
s: 63total: 46650
s: 86total: 46736
s: 73total: 46809
s: 83total: 46892
s: 33total: 46925
s: 95total: 47020
s: 63total: 47083
s: 93total: 47176
s: 84total: 47260
s: 95total: 47355
s: 17total: 47372
s: 17total: 47389
s: 96total: 47485
s: 86total: 47571
s: 57total: 47628
s: 27total: 47655
s: 81total: 47736
s: 58total: 47794
s: 18total: 47812
s: 79total: 47891
s: 18total: 47909
s: 65total: 47974
s: 98total: 48072
s: 83total: 48155
s: 98total: 48253
s: 76total: 48329
s: 58total: 48387
s: 71total: 48458
s: 23total: 48481
s: 84total: 48565
s: 22total: 48587
s: 24total: 48611
s: 61total: 48672
s: 63total: 48735
s: 85total: 48820
s: 81total: 48901
s: 11total: 48912
s: 15total: 48927
s: 28total: 48955
s: 38total: 48993
s: 31total: 49024
s: 52total: 49076
s: 83total: 49159
s: 99total: 49258
s: 19total: 49277
s: 81total: 49358
s: 87total: 49445
s: 74total: 49519
s: 75total: 49594
s: 76total: 49670
s: 78total: 49748
s: 58total: 49806
s: 69total: 49875
s: 12total: 49887
s: 88total: 49975
s: 51total: 50026
s: 26total: 50052
s: 64total: 50116
s: 27total: 50143
s: 64total: 50207
s: 26total: 50233
s: 15total: 50248
s: 36total: 50284
s: 92total: 50376
s: 11total: 50387
s: 51total: 50438
s: 74total: 50512
s: 63total: 50575
s: 35total: 50610
s: 11total: 50621
s: 64total: 50685
s: 58total: 50743
s: 82total: 50825
s: 63total: 50888
s: 82total: 50970
s: 57total: 51027
s: 45total: 51072
s: 14total: 51086
s: 64total: 51150
s: 61total: 51211
s: 52total: 51263
s: 48total: 51311
s: 99total: 51410
s: 36total: 51446
s: 28total: 51474
s: 11total: 51485
s: 73total: 51558
s: 64total: 51622
s: 29total: 51651
s: 96total: 51747
s: 16total: 51763
s: 76total: 51839
s: 74total: 51913
s: 14total: 51927
s: 28total: 51955
s: 47total: 52002
s: 22total: 52024
s: 88total: 52112
s: 37total: 52149
s: 22total: 52171
s: 82total: 52253
s: 11total: 52264
s: 96total: 52360
s: 31total: 52391
s: 17total: 52408
s: 22total: 52430
s: 23total: 52453
s: 97total: 52550
s: 59total: 52609
s: 66total: 52675
s: 24total: 52699
s: 78total: 52777
s: 99total: 52876
s: 51total: 52927
s: 51total: 52978
s: 76total: 53054
s: 21total: 53075
s: 61total: 53136
s: 82total: 53218
s: 93total: 53311
s: 74total: 53385
s: 47total: 53432
s: 69total: 53501
s: 98total: 53599
s: 73total: 53672
s: 13total: 53685
s: 17total: 53702
s: 49total: 53751
s: 81total: 53832
s: 98total: 53930
s: 22total: 53952
s: 13total: 53965
s: 98total: 54063
s: 67total: 54130
s: 95total: 54225
s: 65total: 54290
s: 12total: 54302
s: 55total: 54357
s: 26total: 54383
s: 86total: 54469
s: 36total: 54505
s: 54total: 54559
s: 91total: 54650
s: 28total: 54678
s: 34total: 54712
s: 66total: 54778
s: 15total: 54793
s: 73total: 54866
s: 78total: 54944
s: 71total: 55015
s: 81total: 55096
s: 95total: 55191
s: 55total: 55246
s: 86total: 55332
s: 47total: 55379
s: 93total: 55472
s: 34total: 55506
s: 62total: 55568
s: 59total: 55627
s: 52total: 55679
s: 65total: 55744
s: 71total: 55815
s: 38total: 55853
s: 46total: 55899
s: 19total: 55918
s: 62total: 55980
s: 54total: 56034
s: 55total: 56089
s: 57total: 56146
s: 66total: 56212
s: 44total: 56256
s: 49total: 56305
s: 19total: 56324
value: 56324
